Food_Item,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Fiber (g),Sugar (g)
Apple_Pie,237,2.4,11.2,32,1.4,12
Burger,295,17,14,29,1.2,6
Baked_Potato,93,2.5,0.1,21,2.2,1.5
Butter_Naan,320,8,10,50,2.5,3
Chai,50,1,2,12,0,10
Chapati,297,8,7,45,3,2
Cheesecake,321,5,22,25,1,18
Chicken_Curry,210,18,10,9,0.8,1
Chhole_Bhature,450,13,24,55,4,4
Fries,312,3.4,15,41,3.2,0.3
Hot_Dog,290,10,18,24,0.5,2
Samosa,262,5,14,38,1.6,2
Sandwich,195,7,6,20,1.2,2
Pizza,285,12,10,36,2.5,3
Masala_Dosa,165,4,8,31,2.8,3
Idli,58,1.2,0.2,12,0.5,0.2
Momos,282,5,10,40,3.5,2
Dhokla,160,7,4,30,1.8,2.5
Ice_Cream,207,3.5,11,23,0.2,16
Carrot,41,0.9,0.2,10,2.8,4.7
Noodles,138,4.5,2,25,1.8,0.6
Corn,86,3.2,1.2,19,2.4,3.2
Bread,265,9,3.2,49,2.7,5
Asian_Pear,42,0.5,0.2,11,3.6,7
Egg,155,13,11,1.1,0,1.1
